"","sex","age","degree","income","income_vs_average","satisfaction","happy"
"532","Male",32,"Graduate",12,"Average","More of less satisfied","Very happy"
"533","Male",33,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"534","Female",42,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"535","Female",68,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"536","Male",70,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"537","Female",67,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"538","Male",89,"Hight school",12,"Average","Pretty satisfied","Very happy"
"539","Male",49,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"540","Male",57,"associate/junior college",12,"Average","More of less satisfied","Not too happy"
"541","Female",68,"Bachelors",12,"Average","Pretty satisfied","Not too happy"
"542","Female",65,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"543","Female",58,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"544","Female",66,"Hight school",10,"Below average","More of less satisfied","Very happy"
"545","Female",55,"associate/junior college",7,"Far below average","Not satisfied","Not too happy"
"546","Female",57,"associate/junior college",9,"Far below average","Not satisfied","Not too happy"
"547","Male",64,"Hight school",9,"Far below average","Not satisfied","Not too happy"
"548","Male",55,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"549","Female",39,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"550","Female",27,"Bachelors",11,"Average","More of less satisfied","Pretty happy"
"551","Male",27,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"552","Female",81,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"553","Female",57,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"554","Female",56,"Hight school",12,"Far below average","Not satisfied","Pretty happy"
"555","Female",55,"Hight school",11,"Far below average","Not satisfied","Pretty happy"
"556","Female",51,"Hight school",9,"Far below average","Not satisfied","Not too happy"
"557","Female",57,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"558","Female",52,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"559","Male",73,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"560","Female",78,"Hight school",7,"Far below average","Not satisfied","Not too happy"
"561","Male",38,"Hight school",12,"Average","More of less satisfied","Very happy"
"562","Female",45,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"563","Female",28,"Hight school",11,"Average","Not satisfied","Not too happy"
"564","Female",68,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"565","Male",35,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"566","Male",64,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"567","Female",62,"Bachelors",12,"Below average","More of less satisfied","Very happy"
"568","Male",34,"Less than high school",12,"Below average","More of less satisfied","Pretty happy"
"569","Female",43,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"570","Female",30,"associate/junior college",12,"Average","More of less satisfied","Not too happy"
"571","Female",57,"Hight school",12,"Below average","Pretty satisfied","Pretty happy"
"572","Female",62,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"573","Female",41,"Hight school",3,"Above average","Pretty satisfied","Pretty happy"
"574","Male",46,"Hight school",1,"Average","More of less satisfied","Pretty happy"
"575","Female",73,"Hight school",9,"Below average","Not satisfied","Not too happy"
"576","Male",85,"Hight school",10,"Below average","Not satisfied","Very happy"
"577","Female",36,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"578","Female",33,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"579","Male",69,"Hight school",12,"Average","More of less satisfied","Very happy"
"580","Male",70,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"581","Male",52,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"582","Female",50,"Less than high school",1,"Far below average","Not satisfied","Pretty happy"
"583","Female",49,"associate/junior college",8,"Far below average","Not satisfied","Not too happy"
"584","Male",66,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"585","Male",63,"Graduate",12,"Below average","More of less satisfied","Pretty happy"
"586","Male",41,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"587","Male",44,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"588","Male",64,"Graduate",12,"Below average","More of less satisfied","Very happy"
"589","Female",80,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"590","Male",51,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"591","Male",71,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"592","Female",40,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"593","Male",48,"Hight school",1,"Above average","Not satisfied","Pretty happy"
"594","Male",39,"Less than high school",11,"Below average","More of less satisfied","Not too happy"
"595","Female",37,"Hight school",12,"Average","Not satisfied","Pretty happy"
"596","Male",81,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"597","Female",46,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"598","Female",66,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"599","Male",71,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"600","Male",49,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"601","Male",74,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"602","Male",63,"Hight school",12,"Far above average","Pretty satisfied","Pretty happy"
"603","Male",30,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"604","Female",27,"Graduate",12,"Below average","Not satisfied","Pretty happy"
"605","Female",69,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"606","Female",31,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"607","Male",60,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"608","Male",55,"Graduate",12,"Below average","Not satisfied","Not too happy"
"609","Female",47,"Graduate",12,"Below average","More of less satisfied","Pretty happy"
"610","Female",38,"Hight school",12,"Average","Not satisfied","Very happy"
"611","Female",71,"Hight school",4,"Average","Not satisfied","Pretty happy"
"612","Female",35,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"613","Female",75,"Less than high school",8,"Below average","Not satisfied","Not too happy"
"614","Female",60,"Less than high school",5,"Below average","Not satisfied","Pretty happy"
"615","Female",80,"Hight school",12,"Below average","More of less satisfied","Not too happy"
"616","Male",39,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"617","Male",57,"Bachelors",12,"Below average","More of less satisfied","Not too happy"
"618","Female",73,"Hight school",12,"Average","Pretty satisfied","Very happy"
"619","Female",20,"Hight school",12,"Average","Not satisfied","Pretty happy"
"620","Male",58,"associate/junior college",8,"Far below average","More of less satisfied","Not too happy"
"621","Male",61,"Less than high school",1,"Below average","More of less satisfied","Very happy"
"622","Female",35,"associate/junior college",12,"Average","More of less satisfied","Very happy"
"623","Female",58,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"624","Female",55,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"625","Female",59,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"626","Female",36,"Bachelors",12,"Average","Not satisfied","Very happy"
"627","Male",31,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"628","Female",62,"Bachelors",12,"Below average","More of less satisfied","Not too happy"
"629","Male",62,"Graduate",10,"Below average","More of less satisfied","Not too happy"
"630","Female",75,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"631","Male",74,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"632","Female",51,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"633","Male",89,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"634","Female",71,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"635","Male",71,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"636","Female",51,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"637","Male",42,"Hight school",11,"Above average","More of less satisfied","Pretty happy"
"638","Male",64,"Hight school",12,"Average","More of less satisfied","Not too happy"
"639","Female",73,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"640","Female",82,"Hight school",10,"Below average","Not satisfied","Not too happy"
"641","Male",55,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"642","Male",82,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"643","Male",58,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"644","Male",41,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"645","Female",38,"Hight school",2,"Below average","Not satisfied","Pretty happy"
"646","Male",63,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"647","Female",73,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"648","Female",74,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"649","Female",62,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"650","Female",51,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"651","Male",64,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"652","Male",77,"Hight school",12,"Average","Not satisfied","Pretty happy"
"653","Female",37,"Hight school",12,"Average","Pretty satisfied","Very happy"
"654","Female",76,"Bachelors",12,"Average","Pretty satisfied","Very happy"
"655","Male",68,"associate/junior college",12,"Average","Pretty satisfied","Very happy"
"656","Male",52,"Hight school",12,"Below average","Not satisfied","Not too happy"
"657","Male",53,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"658","Female",63,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"659","Female",61,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"660","Female",64,"Hight school",12,"Average","Pretty satisfied","Very happy"
"661","Female",68,"Less than high school",8,"Below average","Not satisfied","Pretty happy"
"662","Female",28,"Hight school",9,"Average","Not satisfied","Not too happy"
"663","Female",61,"Less than high school",1,"Average","Pretty satisfied","Pretty happy"
"664","Female",36,"Hight school",9,"Average","More of less satisfied","Pretty happy"
"665","Male",53,"Hight school",10,"Far below average","Not satisfied","Not too happy"
"666","Female",38,"Graduate",8,"Below average","Not satisfied","Not too happy"
"667","Male",33,"Bachelors",9,"Above average","Pretty satisfied","Pretty happy"
"668","Female",23,"Graduate",12,"Average","More of less satisfied","Not too happy"
"669","Male",48,"Bachelors",1,"Far below average","Not satisfied","Not too happy"
"670","Female",46,"Graduate",12,"Far above average","Pretty satisfied","Very happy"
"671","Male",45,"Less than high school",12,"Average","Not satisfied","Pretty happy"
"672","Male",21,"Hight school",1,"Below average","Not satisfied","Pretty happy"
"673","Male",19,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"674","Female",50,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"675","Female",54,"Hight school",12,"Average","More of less satisfied","Not too happy"
"676","Female",27,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"677","Male",38,"Hight school",12,"Far below average","Not satisfied","Not too happy"
"678","Female",68,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"679","Female",72,"associate/junior college",12,"Average","Pretty satisfied","Pretty happy"
"680","Female",63,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"681","Male",34,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"682","Male",51,"Hight school",12,"Above average","Pretty satisfied","Very happy"
"683","Female",84,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"684","Male",81,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"685","Female",31,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"686","Female",41,"Hight school",12,"Average","More of less satisfied","Very happy"
"687","Female",60,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"688","Female",46,"Hight school",2,"Far below average","Not satisfied","Pretty happy"
"689","Male",41,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"690","Male",40,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"691","Male",65,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"692","Male",28,"associate/junior college",9,"Far below average","More of less satisfied","Not too happy"
"693","Male",46,"Bachelors",12,"Above average","More of less satisfied","Not too happy"
"694","Male",67,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"695","Female",38,"Hight school",10,"Far below average","Not satisfied","Not too happy"
"696","Female",47,"associate/junior college",12,"Average","More of less satisfied","Not too happy"
"697","Male",28,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"698","Female",81,"Hight school",12,"Average","More of less satisfied","Very happy"
"699","Male",72,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"700","Male",36,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"701","Female",83,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"702","Female",33,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"703","Female",34,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"704","Male",81,"Hight school",9,"Far below average","More of less satisfied","Pretty happy"
"705","Male",70,"Bachelors",12,"Below average","More of less satisfied","Very happy"
"706","Female",57,"Hight school",12,"Average","Pretty satisfied","Very happy"
"707","Male",42,"Hight school",12,"Above average","Pretty satisfied","Not too happy"
"708","Female",63,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"709","Male",41,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"710","Female",63,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"711","Male",83,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"712","Female",72,"Hight school",11,"Below average","More of less satisfied","Pretty happy"
"713","Female",50,"Hight school",9,"Below average","Not satisfied","Pretty happy"
"714","Female",52,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"715","Male",45,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"716","Male",68,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"717","Male",33,"Bachelors",12,"Far above average","Not satisfied","Very happy"
"718","Female",43,"associate/junior college",12,"Below average","More of less satisfied","Not too happy"
"719","Male",72,"Hight school",12,"Below average","Pretty satisfied","Very happy"
"720","Female",89,"Hight school",8,"Far below average","More of less satisfied","Pretty happy"
"721","Female",59,"Hight school",8,"Far below average","Not satisfied","Pretty happy"
"722","Male",29,"Less than high school",12,"Average","More of less satisfied","Very happy"
"723","Male",64,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"724","Female",44,"Hight school",12,"Average","Pretty satisfied","Very happy"
"725","Female",76,"Graduate",12,"Below average","Not satisfied","Pretty happy"
"726","Female",59,"Hight school",12,"Below average","Pretty satisfied","Pretty happy"
"727","Male",52,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"728","Male",34,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"729","Male",29,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"730","Male",30,"Graduate",12,"Average","More of less satisfied","Very happy"
"731","Female",61,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"732","Male",72,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"733","Male",77,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"734","Female",69,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"735","Male",79,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"736","Male",33,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"737","Female",37,"Graduate",12,"Average","Not satisfied","Very happy"
"738","Male",64,"Hight school",10,"Below average","Not satisfied","Not too happy"
"739","Male",56,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"740","Male",24,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"741","Male",38,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"742","Female",31,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"743","Female",56,"Hight school",12,"Average","More of less satisfied","Very happy"
"744","Female",62,"Hight school",12,"Average","More of less satisfied","Not too happy"
"745","Male",42,"Graduate",12,"Below average","Not satisfied","Not too happy"
"746","Female",37,"Hight school",12,"Average","Pretty satisfied","Very happy"
"747","Female",39,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"748","Male",69,"Bachelors",12,"Average","Pretty satisfied","Very happy"
"749","Male",40,"Bachelors",12,"Average","Pretty satisfied","Very happy"
"750","Female",85,"Graduate",12,"Average","Pretty satisfied","Very happy"
"751","Female",42,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"752","Female",78,"Hight school",12,"Below average","More of less satisfied","Not too happy"
"753","Female",39,"Hight school",12,"Average","More of less satisfied","Very happy"
"754","Female",46,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"755","Female",42,"associate/junior college",12,"Average","More of less satisfied","Very happy"
"756","Male",58,"Graduate",12,"Average","More of less satisfied","Not too happy"
"757","Male",66,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"758","Male",86,"Hight school",12,"Below average","More of less satisfied","Very happy"
"759","Female",20,"Hight school",12,"Average","More of less satisfied","Not too happy"
"760","Male",65,"Hight school",9,"Far below average","Not satisfied","Not too happy"
"761","Female",34,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"762","Female",37,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"763","Male",89,"Hight school",12,"Below average","Pretty satisfied","Pretty happy"
"764","Male",54,"Bachelors",12,"Far above average","Pretty satisfied","Very happy"
"765","Male",21,"Hight school",12,"Far below average","More of less satisfied","Very happy"
"766","Female",59,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"767","Male",25,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"768","Male",61,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"769","Female",52,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"770","Female",59,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"771","Male",32,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"772","Male",50,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"773","Female",58,"Graduate",12,"Average","More of less satisfied","Not too happy"
"774","Female",25,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"775","Male",84,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"776","Female",54,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"777","Male",33,"Hight school",12,"Average","Not satisfied","Pretty happy"
"778","Male",76,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"779","Female",51,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"780","Female",29,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"781","Female",64,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"782","Female",37,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"783","Male",30,"Hight school",11,"Average","Not satisfied","Pretty happy"
"784","Female",34,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"785","Male",74,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"786","Female",28,"Graduate",12,"Below average","Pretty satisfied","Very happy"
"787","Female",44,"Hight school",12,"Far below average","Not satisfied","Pretty happy"
"788","Female",63,"associate/junior college",12,"Above average","More of less satisfied","Not too happy"
"789","Female",48,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"790","Male",43,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"791","Female",69,"Hight school",2,"Far above average","Not satisfied","Pretty happy"
"792","Female",79,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"793","Female",39,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"794","Female",69,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"795","Female",64,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"796","Female",48,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"797","Female",75,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"798","Male",27,"Hight school",9,"Below average","More of less satisfied","Not too happy"
"799","Male",67,"Hight school",12,"Average","Pretty satisfied","Not too happy"
"800","Female",62,"Hight school",11,"Average","Pretty satisfied","Pretty happy"
"801","Male",35,"Less than high school",12,"Average","Not satisfied","Pretty happy"
"802","Male",46,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"803","Male",33,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"804","Female",50,"associate/junior college",12,"Average","Not satisfied","Not too happy"
"805","Female",49,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"806","Female",39,"Less than high school",11,"Average","More of less satisfied","Very happy"
"807","Female",33,"Bachelors",12,"Above average","Not satisfied","Pretty happy"
"808","Male",85,"associate/junior college",12,"Above average","Pretty satisfied","Pretty happy"
"809","Female",62,"Hight school",12,"Below average","More of less satisfied","Very happy"
"810","Female",28,"Graduate",10,"Above average","Pretty satisfied","Not too happy"
"811","Male",30,"Graduate",11,"Below average","More of less satisfied","Pretty happy"
"812","Male",23,"Hight school",5,"Far below average","Not satisfied","Not too happy"
"813","Female",76,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"814","Female",80,"Hight school",12,"Above average","More of less satisfied","Not too happy"
"815","Male",69,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"816","Male",49,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"817","Male",48,"Graduate",12,"Far above average","More of less satisfied","Not too happy"
"818","Female",28,"Graduate",1,"Above average","More of less satisfied","Pretty happy"
"819","Female",26,"Hight school",3,"Average","Pretty satisfied","Pretty happy"
"820","Female",49,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"821","Female",35,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"822","Male",82,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"823","Female",59,"Hight school",12,"Far below average","Not satisfied","Very happy"
"824","Female",37,"Graduate",9,"Average","More of less satisfied","Pretty happy"
"825","Female",29,"Bachelors",12,"Average","More of less satisfied","Very happy"
"826","Male",68,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"827","Male",41,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"828","Male",45,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"829","Female",42,"Graduate",12,"Average","Not satisfied","Not too happy"
"830","Female",40,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"831","Male",71,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"832","Female",59,"Graduate",12,"Average","More of less satisfied","Very happy"
"833","Female",44,"Hight school",12,"Average","More of less satisfied","Very happy"
"834","Male",70,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"835","Male",37,"Bachelors",12,"Below average","Pretty satisfied","Very happy"
"836","Male",64,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"837","Female",67,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"838","Female",43,"associate/junior college",12,"Below average","Not satisfied","Not too happy"
"839","Male",42,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"840","Male",29,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"841","Male",75,"Hight school",12,"Above average","Pretty satisfied","Not too happy"
"842","Male",59,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"843","Male",53,"Hight school",12,"Average","Not satisfied","Pretty happy"
"844","Female",27,"Hight school",12,"Average","Not satisfied","Pretty happy"
"845","Female",30,"Graduate",12,"Average","Pretty satisfied","Very happy"
"846","Male",46,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"847","Female",36,"associate/junior college",12,"Average","Not satisfied","Pretty happy"
"848","Female",84,"Hight school",11,"Average","Not satisfied","Not too happy"
"849","Female",25,"Graduate",12,"Below average","More of less satisfied","Very happy"
"850","Female",74,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"851","Male",51,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"852","Male",61,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"853","Female",32,"Bachelors",2,"Below average","Not satisfied","Not too happy"
"854","Female",35,"associate/junior college",12,"Average","More of less satisfied","Very happy"
"855","Female",57,"Hight school",10,"Below average","More of less satisfied","Pretty happy"
"856","Female",74,"Bachelors",12,"Below average","Pretty satisfied","Pretty happy"
"857","Female",89,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"858","Male",67,"Graduate",10,"Above average","Pretty satisfied","Pretty happy"
"859","Male",74,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"860","Male",79,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"861","Female",66,"Hight school",12,"Average","More of less satisfied","Not too happy"
"862","Male",24,"Bachelors",12,"Above average","Not satisfied","Very happy"
"863","Male",36,"Bachelors",12,"Average","More of less satisfied","Very happy"
"864","Male",56,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"865","Female",47,"Hight school",12,"Average","Not satisfied","Pretty happy"
"866","Female",58,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"867","Female",67,"Graduate",12,"Average","Not satisfied","Pretty happy"
"868","Male",68,"Bachelors",12,"Above average","More of less satisfied","Very happy"
"869","Male",19,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"870","Male",87,"Graduate",12,"Average","More of less satisfied","Not too happy"
"871","Female",78,"Hight school",10,"Below average","More of less satisfied","Pretty happy"
"872","Male",88,"Graduate",12,"Below average","More of less satisfied","Pretty happy"
"873","Male",55,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"874","Female",61,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"875","Female",54,"associate/junior college",12,"Average","Not satisfied","Pretty happy"
"876","Male",61,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"877","Female",22,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"878","Male",87,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"879","Male",78,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"880","Female",37,"Less than high school",12,"Average","Pretty satisfied","Very happy"
"881","Female",26,"Hight school",8,"Average","Not satisfied","Pretty happy"
"882","Male",79,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"883","Female",46,"Bachelors",12,"Average","Not satisfied","Pretty happy"
"884","Female",51,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"885","Female",81,"Graduate",12,"Average","Pretty satisfied","Very happy"
"886","Female",44,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"887","Female",80,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"888","Male",31,"Hight school",1,"Far below average","More of less satisfied","Pretty happy"
"889","Male",63,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"890","Female",40,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"891","Male",72,"Hight school",12,"Below average","Not satisfied","Not too happy"
"892","Female",57,"Graduate",12,"Average","More of less satisfied","Not too happy"
"893","Male",66,"associate/junior college",12,"Average","More of less satisfied","Very happy"
"894","Female",49,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"895","Female",40,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"896","Female",42,"Graduate",12,"Far above average","Pretty satisfied","Not too happy"
"897","Female",32,"Graduate",12,"Average","Not satisfied","Very happy"
"898","Female",73,"Less than high school",11,"Far below average","Not satisfied","Very happy"
"899","Male",76,"Hight school",10,"Below average","More of less satisfied","Not too happy"
"900","Male",55,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"901","Female",52,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"902","Male",57,"Hight school",8,"Below average","Pretty satisfied","Pretty happy"
"903","Female",82,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"904","Male",68,"Hight school",12,"Below average","More of less satisfied","Not too happy"
"905","Female",29,"Less than high school",12,"Below average","Not satisfied","Pretty happy"
"906","Female",39,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"907","Female",41,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"908","Male",85,"associate/junior college",12,"Below average","Pretty satisfied","Very happy"
"909","Male",80,"Bachelors",9,"Average","More of less satisfied","Pretty happy"
"910","Male",73,"Hight school",12,"Average","Pretty satisfied","Not too happy"
"911","Male",40,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"912","Female",80,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
